,0,1,2
63,https://www.amazon.com.br/Clayco-Forza-Full-Body-Compatible-Fingerprint/dp/B08HVJLKJ8/ref=sr_1_64?dchild=1&keywords=iphone&qid=1607914788&sr=8-64,"4,3 de 5 estrelas",13
64,https://www.amazon.com.br/Pel%C3%ADcula-Hprime-Premium-Invisivel-Iphone/dp/B07B4N7B34/ref=sr_1_65?dchild=1&keywords=iphone&qid=1607914788&sr=8-65,"4,4 de 5 estrelas",23
65,https://www.amazon.com.br/Lightning-Pinos-Elg-Inx810Gy-Cinza/dp/B07D19GN5Z/ref=sr_1_66?dchild=1&keywords=iphone&qid=1607914788&sr=8-66,"4,3 de 5 estrelas",203
66,https://www.amazon.com.br/Pelicula-Hprime-invisivel-Protetora-Transparente/dp/B07LC5CJKD/ref=sr_1_67?dchild=1&keywords=iphone&qid=1607914788&sr=8-67,"3,5 de 5 estrelas",49
67,https://www.amazon.com.br/Lightning-Powerline-Anker-11132072-Espacial/dp/B07F6KM2P8/ref=sr_1_68?dchild=1&keywords=iphone&qid=1607914788&sr=8-68,"4,6 de 5 estrelas",100
68,https://www.amazon.com.br/Microfone-Digital-Est%C3%A9reo-Motiv-MV88/dp/B010W6W8OW/ref=sr_1_69?dchild=1&keywords=iphone&qid=1607914788&sr=8-69,"4,4 de 5 estrelas",1.796
69,https://www.amazon.com.br/Cabo-Lightning-para-Energy2u-Preto/dp/B07ZLWF2M9/ref=sr_1_70?dchild=1&keywords=iphone&qid=1607914788&sr=8-70,"4,3 de 5 estrelas",90
70,https://www.amazon.com.br/Capa-Iphone-Apple-Silicone-Preto/dp/B07XQYNX38/ref=sr_1_71?dchild=1&keywords=iphone&qid=1607914788&sr=8-71,"4,7 de 5 estrelas",2.506
71,https://www.amazon.com.br/Cabos-Lightning-Recarga-Prisma-Cmb812wh/dp/B07JJFM5NQ/ref=sr_1_72?dchild=1&keywords=iphone&qid=1607914788&sr=8-72,"4,4 de 5 estrelas",39
72,https://www.amazon.com.br/Pel%C3%ADcula-Polegadas-Capinha-Transparente-Temperado/dp/B07ZS25Z2T/ref=sr_1_73?dchild=1&keywords=iphone&qid=1607914788&sr=8-73,"4,3 de 5 estrelas",71
73,https://www.amazon.com.br/Impacto-GEONAV-Anti-Impacto-Branco-Transparente/dp/B07D1H4LCN/ref=sr_1_74?dchild=1&keywords=iphone&qid=1607914788&sr=8-74,"4,6 de 5 estrelas",48
74,https://www.amazon.com.br/iShock-Refor%C3%A7ada-iPhone-Pel%C3%ADculas-Aplica%C3%A7%C3%A3o/dp/B087YLG5VV/ref=sr_1_75?dchild=1&keywords=iphone&qid=1607914788&sr=8-75,"4,3 de 5 estrelas",11
75,https://www.amazon.com.br/Protetora-Polegadas-Transparente-Prote%C3%A7%C3%A3o-Silicone/dp/B07ZQNYWGX/ref=sr_1_76?dchild=1&keywords=iphone&qid=1607914788&sr=8-76,"4,5 de 5 estrelas",87
76,https://www.amazon.com.br/Novo-Apple-iPhone-12-Branco/dp/B08L5Q1L2Q/ref=sr_1_77?dchild=1&keywords=iphone&qid=1607914788&sr=8-77,"5,0 de 5 estrelas",1
77,https://www.amazon.com.br/Celular-Original-Apple-Iphone-metros/dp/B00F4RASK6/ref=sr_1_78?dchild=1&keywords=iphone&qid=1607914788&sr=8-78,"4,5 de 5 estrelas",5.790
78,https://www.amazon.com.br/Pel%C3%ADcula-iPhone-Temperado-Premium-HPrime/dp/B07KR63Z9D/ref=sr_1_79?dchild=1&keywords=iphone&qid=1607914788&sr=8-79,"4,1 de 5 estrelas",69
79,https://www.amazon.com.br/Premium-iPhone-Multilaser-Protetora-Celular/dp/B077763DVF/ref=sr_1_80?dchild=1&keywords=iphone&qid=1607914788&sr=8-80,"4,7 de 5 estrelas",55
80,https://www.amazon.com.br/iPhone-Spigen-Liquid-Black-Anti-Impacto/dp/B07T1P48F9/ref=sr_1_81?dchild=1&keywords=iphone&qid=1607914788&sr=8-81,"4,7 de 5 estrelas",4.000
81,https://www.amazon.com.br/iPhone-Spigen-Tough-Armor-Anti-Impacto/dp/B07T1MYV8R/ref=sr_1_82?dchild=1&keywords=iphone&qid=1607914788&sr=8-82,"4,7 de 5 estrelas",6.869
